player_id,first_name,last_name
1226,Mickey,Welch
1227,Willie,Wells
1228,Zack,Wheat
1229,Deacon,White
1230,Hoyt,Wilhelm
1231,Billy,Williams
1232,Smokey Joe,Williams
1233,Ted,Williams
1234,Vic,Willis
1235,Hack,Wilson
1236,Jud,Wilson
1237,Dave,Winfield
1238,Early,Wynn
1239,Carl,Yastrzemski
1240,Cy,Young
1241,Ross,Youngs
1242,Robin,Yount
